"Month","Weigeledangxiong Glacier"
2002-02,0.008981821
2002-03,0.020694114
2002-04,0.008047711
2002-05,-0.024430552
2002-06,-0.0582022
2002-07,-0.083351299
2002-08,-0.112955377
2002-09,-0.153050229
2002-10,-0.199827552
2002-11,-0.246676728
2002-12,-0.285190761
2003-01,-0.28411296
2003-02,-0.262628436
2003-03,-0.23898828
2003-04,-0.240856513
2003-05,-0.25867644
2003-06,-0.277143061
2003-07,-0.287490129
2003-08,-0.30423224
2003-09,-0.330602854
2003-10,-0.36609903
2003-11,-0.407702804
2003-12,-0.437091321
2004-01,-0.434360862
2004-02,-0.410648853
2004-03,-0.391966671
2004-04,-0.384350061
2004-05,-0.40296042
2004-06,-0.426384985
2004-07,-0.438672125
2004-08,-0.457354307
2004-09,-0.487245828
2004-10,-0.523891628
2004-11,-0.560393751
2004-12,-0.58812964
2005-01,-0.588632584
2005-02,-0.561184168
2005-03,-0.533160865
2005-04,-0.525113165
2005-05,-0.540058911
2005-06,-0.55507654
2005-07,-0.567076266
2005-08,-0.586548805
2005-09,-0.609829724
2005-10,-0.644248068
2005-11,-0.682690263
2005-12,-0.709994972
2006-01,-0.709635675
2006-02,-0.682977676
2006-03,-0.663864315
2006-04,-0.669612706
2006-05,-0.693827689
2006-06,-0.71991092
2006-07,-0.735072196
2006-08,-0.766831934
2006-09,-0.803549588
2006-10,-0.849608421
2006-11,-0.898110211
2006-12,-0.937342823
2007-01,-0.944887519
2007-02,-0.930660367
2007-03,-0.916433156
2007-04,-0.924552679
2007-05,-0.951354444
2007-06,-0.978156209
2007-07,-1.00359273
2007-08,-1.027520299
2007-09,-1.069627047
2007-10,-1.116188884
2007-11,-1.163756609
2007-12,-1.20550406
2008-01,-1.213479877
2008-02,-1.195875525
2008-03,-1.180426836
2008-04,-1.189696074
2008-05,-1.211108685
2008-06,-1.239706874
2008-07,-1.259538651
2008-08,-1.281095028
2008-09,-1.320183992
2008-10,-1.371488094
2008-11,-1.416181684
2008-12,-1.451965213
2009-01,-1.464108586
