"Month","Yehelong Glacier"
2002-02,-0.025411597
2002-03,-0.052561611
2002-04,-0.092749767
2002-05,-0.150884554
2002-06,-0.239032626
2002-07,-0.339349627
2002-08,-0.424276501
2002-09,-0.495449424
2002-10,-0.557623506
2002-11,-0.599601209
2002-12,-0.628591895
2003-01,-0.648634851
2003-02,-0.681715906
2003-03,-0.709223866
2003-04,-0.747775853
2003-05,-0.809745371
2003-06,-0.900092006
2003-07,-0.993966639
2003-08,-1.080018401
2003-09,-1.147152066
2003-10,-1.210706592
2003-11,-1.253451228
2003-12,-1.277789116
2004-01,-1.306217432
2004-02,-1.332395911
2004-03,-1.360670805
2004-04,-1.398455858
2004-05,-1.456744075
2004-06,-1.542233348
2004-07,-1.641732335
2004-08,-1.722313166
2004-09,-1.794866562
2004-10,-1.855148792
2004-11,-1.893598557
2004-12,-1.925248027
2005-01,-1.944779634
2005-02,-1.972031951
2005-03,-2.002403021
2005-04,-2.033234596
2005-05,-2.093312263
2005-06,-2.180335522
2005-07,-2.276561975
2005-08,-2.354790926
2005-09,-2.427906752
2005-10,-2.486041546
2005-11,-2.526945591
2005-12,-2.548471212
2006-01,-2.565139532
2006-02,-2.589835405
2006-03,-2.614326715
2006-04,-2.648430347
2006-05,-2.710144281
2006-06,-2.796349287
2006-07,-2.891093254
2006-08,-2.977962971
2006-09,-3.043102503
2006-10,-3.105327845
2006-11,-3.149759769
2006-12,-3.176244974
2007-01,-3.200020552
2007-02,-3.233766317
2007-03,-3.26250124
2007-04,-3.303609848
2007-05,-3.370794535
2007-06,-3.468708515
2007-07,-3.566162109
2007-08,-3.657224655
2007-09,-3.732539177
2007-10,-3.798394442
2007-11,-3.846763372
2007-12,-3.878055096
2008-01,-3.904949427
2008-02,-3.934246778
2008-03,-3.963697672
2008-04,-4.005419731
2008-05,-4.065906525
2008-06,-4.154923916
2008-07,-4.252172947
2008-08,-4.33766222
2008-09,-4.406432152
2008-10,-4.460680962
2008-11,-4.497136593
2008-12,-4.520145416
2009-01,-4.537529469
2009-02,-4.561816216
2009-03,-4.586102962
2009-04,-4.61463356
2009-05,-4.669342518
2009-06,-4.753093243
2009-07,-4.844769478
2009-08,-4.925656796
2009-09,-4.987166405
2009-10,-5.042489052
2009-11,-5.082625866
2009-12,-5.104867458
2010-01,-5.122507572
2010-02,-5.145720482
2010-03,-5.173381805
2010-04,-5.202781677
2010-05,-5.264086246
2010-06,-5.351058483
2010-07,-5.445291042
2010-08,-5.529911041
2010-09,-5.604254246
2010-10,-5.659883499
2010-11,-5.701503277
2010-12,-5.731823444
2011-01,-5.75069046
2011-02,-5.776562214
2011-03,-5.807700157
2011-04,-5.844923019
2011-05,-5.904335976
2011-06,-5.992688179
2011-07,-6.093567848
2011-08,-6.181306839
2011-09,-6.254525185
2011-10,-6.318079472
2011-11,-6.362716198
2011-12,-6.392473698
2012-01,-6.415277481
2012-02,-6.441813946
2012-03,-6.466560841
2012-04,-6.50772047
2012-05,-6.565906525
2012-06,-6.654156685
2012-07,-6.747366905
2012-08,-6.834287643
2012-09,-6.904233456
2012-10,-6.956948757
2012-11,-6.996676445
2012-12,-7.017997742
2013-01,-7.033899307
2013-02,-7.056191921
2013-03,-7.080223083
2013-04,-7.107935429
2013-05,-7.16591692
2013-06,-7.245781898
2013-07,-7.336997509
2013-08,-7.414459705
2013-09,-7.478372097
2013-10,-7.532262802
2013-11,-7.571632862
2013-12,-7.594743729
2014-01,-7.608293056
2014-02,-7.633909225
2014-03,-7.659729958
2014-04,-7.69158411
2014-05,-7.751406193
2014-06,-7.83894062
2014-07,-7.938899517
2014-08,-8.024950981
2014-09,-8.098527908
2014-10,-8.159781456
2014-11,-8.20477581
2014-12,-8.238265991
2015-01,-8.263728142
2015-02,-8.297729492
2015-03,-8.332191467
2015-04,-8.373555183
2015-05,-8.439564705
2015-06,-8.532160759
2015-07,-8.633346558
2015-08,-8.728295326
2015-09,-8.805041313
2015-10,-8.864556313
2015-11,-8.910727501
2015-12,-8.940433502
2016-01,-8.960886002
2016-02,-8.990540504
2016-03,-9.017333031
2016-04,-9.05542469
2016-05,-9.111207962
2016-06,-9.193577766
2016-07,-9.290827751
2016-08,-9.368442535
2016-09,-9.435422897
2016-10,-9.484763145
2016-11,-9.523365974
2016-12,-9.544483185
2017-01,-9.558594704
2017-02,-9.577666283
2017-03,-9.600674629
2017-04,-9.636516571
2017-05,-9.689436913
2017-06,-9.77380085
2017-07,-9.867215157
2017-08,-9.95270443
2017-09,-10.01896954
2017-10,-10.0773592
2017-11,-10.11509323
2017-12,-10.13922691
2018-01,-10.16008759
2018-02,-10.18662453
2018-03,-10.21387672
2018-04,-10.24736691
2018-05,-10.30734253
2018-06,-10.39410973
2018-07,-10.48614407
2018-08,-10.56846333
2018-09,-10.63314247
2018-10,-10.68999863
2018-11,-10.72860241
2018-12,-10.74552631
2019-01,-10.75631428
2019-02,-10.77323818
2019-03,-10.79399776
2019-04,-10.82094288
2019-05,-10.87099934
2019-06,-10.9464159
2019-07,-11.03026867
2019-08,-11.10384464
2019-09,-11.16499615
2019-10,-11.21495056
2019-11,-11.24266243
2019-12,-11.25437164
2020-01,-11.26439285
2020-02,-11.27973175
2020-03,-11.29875278
2020-04,-11.32738495
2020-05,-11.37212372
2020-06,-11.4489212
2020-07,-11.52909279
2020-08,-11.60895824
2020-09,-11.67103004
2020-10,-11.7150526
2020-11,-11.75396252
2020-12,-11.76781845
2021-01,-11.78561211
2021-02,-11.80304718
2021-03,-11.82487965
2021-04,-11.85346127
2021-05,-11.90939808
2021-06,-11.99815941
2021-07,-12.09070492
2021-08,-12.17465973
2021-09,-12.24005508
2021-10,-12.29819012
2021-11,-12.33863354
2021-12,-12.36286926
2022-01,-12.38362789
2022-02,-12.40586948
2022-03,-12.43071842
2022-04,-12.46625423
2022-05,-12.52423573
2022-06,-12.61371326
2022-07,-12.70477581
2022-08,-12.78709507
2022-09,-12.85566044
2022-10,-12.91042042
2022-11,-12.94968796
2022-12,-12.96865749
2023-01,-12.98527431
