TPW_dif,COMPLETE_dif,rank_dif,ATPP_dif,AAG_dif,SERVEADV,res_dif,speed,serve_width,serve_depth,return_depth,game_victor,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,0.000214761,112.4,0.727272727,0.545454545,1.181818182,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-0.000128108,119.625,1.5,0.875,1.375,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,0.000141663,119.4,1.2,0.6,1.4,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-0.000147428,117.25,1.5,1,0.5,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,0.000314491,111.75,2,0.625,1.5,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-4.92E-05,112.6,0.6,0.8,1.2,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-5.58E-05,109.4,0.6,0.8,1.4,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,5.85E-05,113.84,0.833333333,0.5,1.166666667,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,3.10E-05,116.8333333,1.25,1,1.333333333,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-0.000199463,121.25,1.5,0.75,0.5,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-3.43E-05,114.375,1.375,0.875,1.125,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-0.000127647,115.75,1,0.25,1.75,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-0.000150674,107.25,0.875,0.625,1.25,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-0.000496385,122.5,1.1,0.8,1.3,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,0.000145988,111.75,1.5,1,1,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-0.000222122,120.0833333,1.25,0.75,1.416666667,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,9.88E-05,103.25,0.75,0.5,1.5,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-0.000190641,122,2.2,1,1.4,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,0.000186074,114.1666667,2,1,1.166666667,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-0.000138803,116,1.2,0.4,1.4,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,0.000186286,119.5,2,1,1.25,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-5.95E-05,122.2857143,1.5,0.571428571,1.142857143,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,9.29E-05,108.6733333,0.833333333,0.333333333,1.333333333,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-0.000208528,123.0866667,0.833333333,0.666666667,0.916666667,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,0.000169683,109,1.666666667,0.666666667,1.5,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,7.31E-05,120.6,0.4,0.6,1.6,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,0.000156401,115.008,1.6,0.4,0.6,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-1.12E-05,114.3333333,1.5,1,1.166666667,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,0.000153576,105.75,1.5,0.5,0.75,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-0.000232706,120.5,1.125,0.75,0.875,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,0.000333489,108.2,2.2,0.8,1.2,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-0.000214517,114.8,0.8,0.4,1,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-8.19E-05,112.18,1.5,0.5,0.833333333,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-0.000731138,118.1688889,1.388888889,0.777777778,1.111111111,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-1.14E-05,112.88,1.875,0.625,0.75,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-0.000214764,121.25,1.125,0.75,0.875,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,0.000178902,111.408,0.4,0.4,1,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,0.000169822,125.0066667,1.833333333,0.166666667,1.5,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,6.56E-05,109.808,1.8,0.4,1,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,-0.000192885,110.8,1.8,0.6,1.4,2,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,0.0001659,111.25,1.625,0.875,1.25,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,4.04E-05,113.5,1.333333333,0.833333333,1.666666667,1,,
0.03,0.046375419,-17,7045,-0.197449703,0.065840625,0.000118523,119,0.5,0.875,1,1,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,0.000233222,114.2533333,1.5,0.833333333,1.416666667,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,0.00014118,123.5,1.5,0.5,1.25,1,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-0.000190157,113.4,2,0.8,1.4,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,0.000149812,130.8,1.6,0.4,1.2,1,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-8.15E-05,114.4,1.2,0.8,1.2,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,0.000132184,120.8,1,1,1.4,1,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-0.000150156,117.5,1.25,0.5,0.75,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-0.000153241,118.6,1.6,0.8,1.4,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-0.000130327,122.5,1.333333333,0.666666667,1.166666667,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,0.000243771,129,1,0.5,1.25,1,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-0.000208749,115.608,1.4,0.6,0.8,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,0.00018176,127.25,1.5,0.25,0,1,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-0.000168545,111.75,1.5,0.5,0.75,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,0.000245642,122.25,1.75,0.75,1.25,1,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-0.000204166,115,1.4,0.6,0.8,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,0.00014597,119.25,1,1,1.5,1,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-0.000179871,113.6666667,1.833333333,0.833333333,1.833333333,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,9.92E-05,118.34,1,0.5,0.833333333,1,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-0.000154877,114.4,1.4,0.4,1,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,0.000163351,120.25,1.75,0.5,1,1,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-0.000268434,113.408,1.2,0.6,1.8,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-2.95E-05,122.2727273,1.454545455,0.818181818,0.909090909,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-0.000114741,116.5,1.666666667,0.5,1.333333333,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,0.000198163,121.6,1.8,0.8,1.2,1,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-0.000165835,119.6666667,1.166666667,0.666666667,1.333333333,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,9.37E-05,122,1.6,0.6,1.2,1,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-7.20E-05,119,0.8,0.6,1.4,2,,
